Requirement_ID,Area,Constraint,Priority,Target_Release,State,Verification,Contract_Refs,Decision_Record
TR-014,Validation,"Enforce unique node IDs, exactly one start, and at least one end.",Must,Current,Implemented,Narrow conformance fixtures pass or fail each invariant with deterministic diagnostics.,docs/specs/core_language.md,
TR-015,Validation,Every edge source and target resolves to a declared node.,Must,Current,Implemented,Undeclared endpoint fixtures fail before rendering or export.,docs/specs/core_language.md,
TR-016,Validation,Every decision has at least two outgoing compiled edges.,Must,Current,Implemented,A one-branch decision fixture fails and a two-branch fixture passes.,docs/specs/core_language.md,
TR-017,Validation,Every non-start node has a predecessor and every non-end node has a successor.,Must,Current,Implemented,Disconnected-entry and dangling-exit fixtures fail independently.,docs/specs/core_language.md,
TR-018,Validation,Every node is reachable from start and can reach at least one end.,Must,Current,Implemented,Unreachable and no-termination-path fixtures fail with stable diagnostic classes.,docs/specs/core_language.md,
TR-019,Validation,Cycles remain valid process structure and are not rejected solely for being cyclic.,Must,Current,Implemented,A valid rework loop passes structural validation.,docs/specs/core_language.md,
TR-020,Validation,"Queue buffer_capacity, when present, is an integer of at least 1; queue_policy is optional under current v0.1 normative semantics.",Must,Current,Implemented,"Boundary fixtures cover absent policy, capacity 1, zero, negative, and non-integer values.",docs/specs/core_language.md,
TR-021,Validation,wait_time is legal only on queue nodes; active work and setup fields are illegal on queues.,Must,Current,Implemented,"Cross-product fixtures cover queue and work-like nodes for wait_time, cycle_time, crossover_time, transfer_time, and changeover_time.",docs/specs/core_language.md,
TR-022,Validation,"When items are declared, consumes and produces references resolve to declared item IDs.",Must,Current,Implemented,Valid and undeclared item-reference fixtures behave deterministically.,docs/specs/core_language.md,
TR-023,Validation,"When resources are declared, performed_by and uses references resolve to declared resource IDs.",Must,Current,Implemented,Valid and undeclared resource-reference fixtures behave deterministically.,docs/specs/core_language.md,
TR-024,Validation,performed_by resolves only to person resources and uses resolves only to equipment resources.,Must,Current,Implemented,Kind-mismatch fixtures fail with actionable diagnostics.,docs/specs/core_language.md,
TR-025,Validation,handoff is boolean in canonical structure; typed metadata cannot contradict the structural flag.,Must,Current,Implemented,"Boolean values pass, malformed values fail, and contradictory metadata is rejected or diagnosed.",docs/specs/core_language.md,
TR-026,Validation,parallel_split has at least two outgoing edges and reaches a parallel_join; parallel_join has at least two incoming edges and is reachable from a split.,Must,Current,Implemented,Narrow valid and invalid parallel fixtures cover each rule independently.,docs/specs/core_language.md,
TR-027,Metadata,"Time values use non-negative numeric values and canonical units s, min, hr, or d, with m retained only as a compatibility alias.",Must,Current,Implemented,"Schema and compiler fixtures cover valid units, alias normalization, negative values, and malformed shapes.",docs/User_Manual.md,
TR-028,Metadata,"Canonical source uses items, resources, consumes, produces, performed_by, and uses; legacy aliases remain compatibility-only and are removed or migrated before 1.0.",Must,1.0,Committed,New docs and fixtures contain canonical names; compatibility fixtures are isolated and deprecation paths documented.,docs/specs/core_language.md; docs/design/adr/language_primitive_taxonomy.md; docs/ROADMAP.md,
TR-029,Metadata,Unknown metadata keys pass through without changing process semantics and emit non-fatal warnings that identify the exact metadata path.,Must,Ongoing,Committed,"CLI and fixture tests prove unknown keys are preserved, warnings are emitted off payload stdout, and known typed keys still validate strictly.",docs/design/typed_metadata.md; docs/User_Manual.md; docs/specs/cli_error_contract.md,Warning behavior is approved; typed_metadata.md remains draft until implementation and documentation agree.
TR-030,CLI,"Use separate renderer and exporter registries and reject render-only flags for JSON, ingredients, or movement exports.",Must,Current,Implemented,CLI tests prove routing separation and usage exit code 1 for invalid combinations.,docs/specs/cli_error_contract.md,
TR-031,CLI,"Map expected failures to exit codes 1, 2, 3, 4, and 5 and unexpected failures to 70; success is 0.",Must,Current,Implemented,CLI integration tests cover every error class and output stream.,docs/specs/cli_error_contract.md,
TR-032,CLI,Write payloads to stdout unless a destination is specified; write diagnostics through the stderr-oriented error path; never contaminate payload stdout with logging or telemetry.,Must,Current,Implemented,"Pipe tests parse SVG, JSON, and text payloads with verbose/logging enabled and observe diagnostics on stderr.",docs/specs/cli_error_contract.md,
TR-033,CLI,Input '-' reads stdin and output '-' writes stdout.,Must,Current,Implemented,POSIX pipe integration tests cover both directions.,docs/specs/cli_error_contract.md,
TR-034,Diagnostics,Semantic validation messages carry stable diagnostic-style prefixes suitable for scripting and triage.,Must,Current,Implemented,Regression tests assert stable prefixes for representative failures without overfitting full prose.,docs/specs/cli_error_contract.md,
TR-035,Rendering,The runtime capability matrix and docs/specs/render_capabilities.md change together.,Must,Current,Implemented,A parity test or review gate detects drift between diagram/backend support in code and the human-readable matrix.,docs/specs/render_capabilities.md; src/flo/render/capability_matrix.py,
TR-036,Rendering,SVG is the only currently supported render backend; unsupported pairs fail early without fallback.,Must,Current,Implemented,Capability tests cover every documented diagram and an unsupported backend request with actionable messaging.,docs/specs/render_capabilities.md,
TR-037,Rendering,Rework edges are dashed; explicit rework metadata takes precedence over inferred back-edge classification.,Must,Current,Implemented,"Renderer tests cover explicit true, explicit false or ordinary, inferred back-edge, and conflicting signals.",docs/specs/cli_error_contract.md,
TR-038,Flowchart,Flowchart was retained for 0.1.x compatibility without new renderer investment and removed in 0.2.0.,Must,0.2,Implemented,"The 0.2 release removes the capability, implementation path, CLI choice, tests, and active guidance while retaining migration history.",docs/ROADMAP.md,Removal is confirmed.
TR-039,Swimlane,"Swimlane groups assigned nodes by lane, places unassigned nodes in a visible fallback surface, and preserves cross-lane transitions without redefining handoff.",Must,Current,Implemented,"SVG artifact tests cover declared lane order, discovered lanes, unassigned nodes, and cross-lane edges.",docs/specs/swimlane.md; docs/design/renderers/swimlane.md,
TR-040,Spaghetti,Movement inference is an analysis-layer concern; the renderer consumes inferred material and people routes and renders location topology.,Must,Current,Implemented,Analysis tests verify movement inference independently of SVG artifact tests.,docs/specs/spaghetti_map.md; docs/design/renderers/spaghetti.md,
TR-041,Spaghetti,"Spaghetti channel selection supports material, people, and both, and people mode supports aggregate and worker-level routes.",Must,Current,Implemented,"Artifact tests verify route inclusion, grouping, labels, and deterministic aggregation counts.",docs/User_Manual.md; docs/design/renderers/spaghetti.md,
TR-042,Spaghetti,Location coordinates and optional rectangle or polygon boundaries drive spatial output; missing spatial metadata follows one documented degradation/error policy.,Must,0.3,Committed,"Default mode renders only routes with two positioned endpoints, emits a stable stderr warning and visible partial-map notice with sorted omitted IDs and counts, and fails when no complete route remains; strict mode fails on any selected route with missing coordinates.",docs/specs/spaghetti_map.md; docs/design/renderers/spaghetti.md; docs/design/render_platform_migration_plan.md,"Approved 0.3 scope: deterministic partial rendering by default, strict failure on request, no invented coordinates or automatic graph-layout fallback."
TR-043,SPPM,"SPPM layout preserves canonical process meaning, decision visibility, rich node semantics, and optional metadata-backed annotations.",Must,Current,Implemented,"Representative artifact tests cover all canonical step kinds, outcomes, queues, handoffs, rework, and metadata omission.",docs/specs/sppm.md,
TR-044,SPPM layout,Node centroids align to a rectangular grid; the layout engine produces the alignment instead of renderer-side mutation.,Must,Current,Implemented,Geometry tests assert centroid grid intersections across the canonical corpus.,docs/specs/sppm.md,
TR-045,SPPM layout,The primary path flows left-to-right on a dominant mainline row; rework uses a secondary lower row flowing right-to-left.,Must,Current,Implemented,Invariant tests identify mainline and rework paths and assert row and direction semantics.,docs/specs/sppm.md,
TR-046,SPPM layout,No node centroid lies left of start or right of stop/end.,Must,Current,Implemented,Corpus invariant tests enforce both horizontal boundaries.,docs/specs/sppm.md,
TR-047,SPPM routing,Connectors are orthogonal polylines with directed arrowheads and attach through explicit midpoint ports on all four node sides.,Must,Current,Implemented,"Geometry and SVG tests assert segment orthogonality, port coordinates, and arrow direction.",docs/specs/sppm.md,
TR-048,SPPM layout,Layout enforces non-trivial minimum horizontal and vertical node-boundary spacing.,Must,Current,Implemented,Dense-corpus invariant tests assert configured minimum clearances.,docs/specs/sppm.md,
TR-049,SPPM regression,Geometry- or diagnostic-affecting changes pass the SPPM invariant suite and byte-identical golden baseline drift gate.,Must,Current,Implemented,Required commands pass in CI for the canonical corpus.,docs/specs/sppm.md; scripts/check_sppm_baseline_drift.py; tests/unit/test_sppm_layout_invariants.py,
TR-050,SPPM regression,"Generated SPPM golden artifacts are never hand-edited; intentional updates follow regeneration, diff review, clean drift check, and explanatory PR evidence.",Must,Current,Implemented,Review tooling records regeneration provenance and PRs changing tests/golden/sppm explain accepted drift.,docs/specs/sppm.md; scripts/build_sppm_baseline_artifacts.py; tests/golden/sppm,
TR-051,SPPM strategy,The promoted SPPM layout strategy remains frozen for normal work; the strategy matrix runs only for deliberate redesign.,Must,Current,Implemented,Routine CI excludes the matrix and validates against the accepted baseline; redesign changes document reopening the freeze.,docs/specs/sppm.md; src/flo/render/layout_core/sppm_strategy.py,
TR-052,Publication,"Publication planning uses backend-neutral plan, series, page, canvas, and artifact-slot contracts with named page formats letter, a4, legal, and tabloid.",Should,Ongoing,Committed,"Contract unit tests cover dimensions, margins, regions, series/page identity, and slot references.",docs/design/publication_model.md,
TR-053,Publication,Non-strict publication fallback emits an explicit warning; strict publication fails rather than silently switching modes.,Must,0.6,Committed,"Tests cover each fallback and hard-failure condition deterministically, with the complete multi-page acceptance suite release-blocking for 0.6.",docs/design/publication_model.md; docs/design/renderers/sppm_layout_enhancement.md; docs/ROADMAP.md,SPPM publication behavior and 0.6 ownership are approved; 0.2 retains prerequisite and standalone-hardening work.
TR-054,Publication,"Stable visible step references derive from node_id and remain consistent across parent maps, child maps, pages, continuation labels, and diagnostics.",Must,0.6,Committed,Multi-page and child-map fixtures retain identical reference tokens across rerenders and block the 0.6 publication acceptance gate.,docs/design/renderers/sppm_layout_enhancement.md; docs/ROADMAP.md,Stable step references are an accepted part of the 0.6 complete SPPM publication boundary.
TR-055,Render architecture,"Target rendering separates FLO semantics, layout, SVG emission, and document composition.",Must,Ongoing,Committed,"Package dependencies and interfaces prevent layout, renderer, and compositor responsibility leakage.",docs/design/adr/render_stack_elk_svg_typst.md; docs/design/render_platform_target_architecture.md,"The ELK, FLO-owned SVG, and Typst direction is confirmed; Graphviz is deprecated migration code only."
TR-056,Render architecture,"Use ELK for graph layout/routing where needed, FLO-owned SVG for canonical standalone graphics, and Typst for page-aware composition; Graphviz is not a supported runtime backend.",Must,Ongoing,Committed,"Backend selection and package boundaries reflect the stack without browser, commercial, or Graphviz runtime dependencies.",docs/design/adr/render_stack_elk_svg_typst.md,Graphviz may appear only in clearly historical or migration context.
TR-057,Render architecture,Backend-neutral modules do not import SVG or renderer-family-specific modules; renderers do not rerun layout or redefine layout-owned route policy.,Must,Ongoing,Committed,Import-policy and geometry tests enforce boundary direction and single ownership.,docs/design/renderers/boundaries.md; docs/design/layout_canvas_boundary_contract.md,
TR-058,Render architecture,"The layout-to-canvas handoff includes node geometry, edge endpoints, ordered polyline points, and rework semantic flags, with optional annotations and continuation metadata.",Must,Ongoing,Committed,Contract tests serialize and consume the required fields without backend-specific SVG leakage.,docs/design/layout_canvas_boundary_contract.md,
TR-059,Render architecture,Use an explicit small in-repo backend selector during migration instead of a runtime plugin registry.,Should,Ongoing,Committed,"Selection is closed, readable, and covered by diagram/backend tests; no dynamic discovery is introduced prematurely.",docs/design/render_platform_migration_plan.md,
TR-060,Render architecture,Spaghetti uses FLO-owned direct SVG for explicit coordinates; swimlane uses the ELK request/result seam; flowchart receives no new renderer investment.,Must,Ongoing,Committed,"Backend tests prove explicit-spatial spaghetti direct SVG and ELK-request/result swimlane behavior, and active docs contain no Graphviz-first guidance.",docs/design/render_platform_migration_plan.md,The architecture direction is confirmed; stale notes must be aligned.
TR-061,Render architecture,Graphviz compatibility transforms may normalize presentation details but must not own or mutate ELK-owned rework path shapes.,Must,Ongoing,Committed,Compatibility tests assert no rework route-shape mutation while permitting padding/background normalization.,docs/design/layout_canvas_boundary_contract.md,
TR-062,Render intent,"Resolved render options follow CLI, named view intent, process defaults, output profile, then renderer defaults.",Should,Ongoing,Committed,Resolver unit tests cover complete and partial nested overrides at every precedence level.,docs/design/render_intent_schema.md; src/flo/core/render_intent.py,Contract approved: stable view IDs with optional labels; shared publication/layout keys plus renderer-specific subtrees; px/in/cm/mm dimensions with bare-number px compatibility.
TR-063,Render intent,Existing FLO files without render intent and existing CLI invocations remain behaviorally identical during rollout.,Must,Ongoing,Committed,Golden tests compare legacy inputs before and after resolver introduction.,docs/design/render_intent_schema.md,
TR-064,Performance,Core graph operations remain O(N + E).,Must,Ongoing,Committed,Algorithm review and performance tests reject superlinear traversal in core validation and canonical graph operations unless explicitly justified outside the core.,docs/FLO_Manifesto.md,
TR-065,Testing,Reference fixtures demonstrate realistic models; conformance fixtures are narrow executable assertions for individual rules.,Must,Current,Implemented,Tests load source fixtures from examples and avoid duplicating broad YAML blobs or overloading conformance cases.,examples/README.md; examples/conformance/README.md,
TR-066,Testing,"Stable renderers provide representative deterministic artifacts, release-blocking regressions, actionable degradation diagnostics, and visual invariants for overlap, clipping, endpoints, routing, and lane containment.",Must,1.0,Committed,"Renderer-tier gates pass for SPPM, swimlane, and spaghetti on the release corpus.",docs/ROADMAP.md,
TR-067,Reproducibility,"Direct SVG and JSON are byte-stable for identical canonical input, options, renderer version, and supported CI platform.",Must,1.0,Committed,Release-blocking determinism tests regenerate representative outputs and compare bytes.,docs/ROADMAP.md,
TR-068,Packaging,Python 3.14 wheel and source-distribution installation smoke tests are release gates.,Must,0.8; 1.0,Committed,"Fresh-environment wheel and sdist installs can validate, export JSON, and render a supported SVG fixture.",docs/ROADMAP.md,
TR-069,Telemetry,"Define a minimum trace-event schema with identity, timestamp, lifecycle, and correlation semantics, plus model-to-trace alignment fixtures.",Must,0.4; 1.0,Committed,"schema/flo_trace.json and its packaged copy stay identical; semantic conformance fixtures validate required identity fields, timestamp and lifecycle rules, unique event IDs, and explicit activity-key alignment without name guessing.",schema/flo_trace.json; src/flo/schema/flo_trace.json; docs/specs/telemetry_events.md; docs/ROADMAP.md,Approved: the Core Model/IR maintainer owns the trace contract; schema/flo_trace.json is structural authority and docs/specs/telemetry_events.md is semantic authority.
TR-070,Privacy,"Treat telemetry input as potentially sensitive and document trust boundaries, data minimization, and redaction guidance before 1.0.",Must,0.4; 0.5; 1.0,Committed,"Tests prove no default network egress, no raw attributes in logs or ordinary artifacts, explicit persistence destinations, allowlisted report fields, and redaction or pseudonymization before persistence.",docs/policy/telemetry_privacy.md; docs/specs/telemetry_events.md; docs/ROADMAP.md; docs/specs/cli_error_contract.md,"Approved: the Security & Privacy maintainer owns policy, with the release maintainer as default accountable owner until separately staffed; schema and privacy approvals remain distinct."
TR-071,Value stream map,"The value_stream renderer supports both material and information flows, clearly distinguishes them, and renders partial data without implying absent data exists.",Must,0.3; 1.0,Committed,"The 0.3 change adds capability-matrix support, implementation, dual-flow and partial-data tests, deterministic SVG fixtures, and user documentation together; stable-tier gates pass by 1.0.",docs/specs/value_stream_map.md; docs/specs/render_capabilities.md; docs/ROADMAP.md; docs/GOVERNANCE.md,Release ownership approved: value_stream becomes a maintained SVG renderer in 0.3 and enters the 0.4 MVP.
TR-072,Documentation,Current user examples do not recommend deprecated surfaces or contradict current capability and architecture decisions; historical and explanatory documents are not policed as current user guidance.,Must,Current,Implemented,"The strict documentation check validates requirement schemas and references, current user-facing deprecated-surface guidance, schema-copy synchronization, balanced Markdown fences, and high-signal contract drift without requiring status headers on ordinary design notes.",docs/GOVERNANCE.md; scripts/check_docs_governance.py,Governance v2 removes the blanket design-status gate and narrows stale-text checks to current guidance.
TR-073,Product milestone,The roadmap defines a pre-1.0 MVP independently from the 1.0 compatibility freeze and release-hardening gates.,Must,0.4,Committed,"The 0.4 release has explicit MVP inclusions and exclusions, and later roadmap stages build on it without redefining MVP retroactively.",docs/ROADMAP.md; docs/requirements/technical_requirements.csv,0.4 is the MVP; 1.0 remains the later compatibility freeze and release-hardening milestone.
TR-074,Render intent,Render-intent schema vocabulary matches the maintained public renderer vocabulary or documents an explicit semantic translation.,Must,Current,Implemented,"Schema, validator, resolver, CLI, and tests agree on diagram names, spaghetti channels, and people-mode values.",docs/design/render_intent_schema.md; schema/flo_ir.json; src/flo/compiler/ir/validate_render_intent.py; src/flo/render/options.py,"Approved vocabulary: diagrams sppm/swimlane/spaghetti, plus value_stream when it ships in 0.3; channels material/people/both; people modes aggregate/worker. Retire equipment/individual unless separately specified."
TR-075,Render intent,Named render views inherit process render.defaults before applying view-specific deltas.,Must,Current,Implemented,"Resolver tests prove hard defaults < profile defaults < process defaults < named view < CLI overrides, including partial nested view overrides.",docs/design/render_intent_schema.md; src/flo/core/render_intent.py,The inheritance contract is approved; the current resolver selects a named view instead of merging it over process defaults.
TR-076,Usability,"The 0.4 MVP includes an automated and observed first-run journey covering end-user installation, scaffold creation, validation, readable default rendering, canonical export, and public API use.",Must,0.4,Committed,Fresh-environment smoke tests cover commands and a representative process-improvement professional completes the documented three-to-five-step journey in about ten minutes without repository knowledge.,docs/ROADMAP.md; docs/Quickstart.md,Authoring ergonomics take precedence over telemetry alignment if 0.4 capacity forces a scope tradeoff.
TR-077,Diagnostics,"Parser, include, compiler, and validator diagnostics use one structured model with stable code, severity, file, line, column, field path, excerpt, suggestion, and include-chain fields where applicable.",Must,0.4; 0.7,Committed,"Human stderr and machine-readable diagnostic output are generated from the same typed records and conformance fixtures assert locations, redaction, and stable codes.",docs/specs/cli_error_contract.md; docs/ROADMAP.md,
TR-078,Packaging,"FLO provides an isolated end-user tool invocation in 0.4 and hardens wheel, source-distribution, and supported-platform installation in 0.8 without requiring a source checkout.",Must,0.4; 0.8,Committed,"Fresh-machine tests run version, scaffold, validate, render, and export workflows from installed distributions; binary packaging is added only if user evidence requires it.",docs/ROADMAP.md; pyproject.toml,
TR-079,Public API,"A versioned public Python facade exposes parse, validate, compile, inspect, export, and diagnostic result contracts without requiring imports from private implementation modules.",Must,0.4; 0.7; 1.0,Committed,"API compatibility tests exercise lss4py-style use, public import paths, typed results, and documented exception-free diagnostic handling; the surface freezes in 0.7.",docs/ROADMAP.md; docs/specs/core_language.md,
TR-080,Source writer,A deterministic .flo writer serializes supported canonical semantics with stable ordering and proves parse-write-parse semantic equivalence.,Must,0.7; 1.0,Committed,"Round-trip corpus tests compare canonical IR semantics and stable IDs, detect unsupported loss before writing, and produce byte-stable output on the supported platform.",docs/ROADMAP.md; docs/specs/core_language.md,
TR-081,Formatter,"The .flo formatter is idempotent, comment-preserving, semantically safe, and supports check, stdin, stdout, and explicit write modes.",Should,0.7,Committed,"Comment-bearing fixtures retain comment content and attachment, repeated formatting is byte-stable, and write mode replaces a file only after semantic equivalence validation.",docs/ROADMAP.md,
TR-082,Extensions,"Namespaced extension metadata has a collision-resistant structural contract, deterministic preservation rules, and no implicit core-language semantics.",Must,0.7; 1.0,Committed,"Schema, compiler, writer, and JSON round-trip fixtures preserve registered and unknown namespaces without promoting or interpreting payloads.",docs/ROADMAP.md; docs/policy/artifact_scope.md,
TR-083,Sharing,"Review bundles use a deterministic manifest that records model identity, source and FLO versions, requested views, artifact hashes or identities, provenance, and warnings.",Should,0.6,Committed,"Bundle fixtures validate every manifest reference, prevent undeclared files, and reproduce identical direct artifacts for identical supported inputs.",docs/ROADMAP.md; docs/design/publication_model.md,
TR-084,Accessibility,"Stable renderer gates include contrast, non-color semantic encoding, monochrome legibility, text readability, and accessible metadata where the artifact format supports it.",Must,0.6; 1.0,Committed,Automated checks and reviewed reference fixtures cover supported themes and all maintained renderer families before stable promotion.,docs/ROADMAP.md; docs/specs/render_capabilities.md,
TR-085,Editor support,A versioned source-authoring schema is distinct from canonical IR schemas and remains synchronized with accepted .flo authoring syntax and maintained snippets.,Should,0.8,Committed,"Valid and invalid source fixtures are checked against the authoring schema where representable, editor-association instructions work, and schema limitations are documented rather than silently diverging.",docs/ROADMAP.md; docs/specs/core_language.md,
TR-086,Migration,"Specification migration is implemented as explicit version-to-version transformations with dry-run reporting, idempotence, source preservation, and target-version validation.",Must,0.8; 1.0,Committed,"Migration corpus tests cover every supported source version, repeated application, warning and loss cases, and non-destructive failure behavior.",docs/ROADMAP.md,
TR-087,BPMN import,"The first BPMN adapter is one-way, targets a documented subset, preserves usable source IDs, emits .flo through the public writer, and generates a typed fidelity report without expanding core FLO semantics to mirror BPMN.",Must,Post-1.0,Committed,"Subset fixtures cover mapped, approximated, ignored, and unsupported constructs; unsupported semantics never pass silently and no BPMN export or round-trip contract exists.",docs/ROADMAP.md; docs/policy/artifact_scope.md,
TR-088,Governance,"Normative authority is domain-specific rather than a total document hierarchy, and contradictions are resolved within the relevant scope, semantics, structure, policy, or verification domain.",Must,Current,Implemented,The documentation map and checker point each governed question to one authoritative home and contain no competing total-order hierarchy.,docs/GOVERNANCE.md; docs/design/adr/governance_v2.md,
TR-089,Governance,Requirement registers use the Governance v2 controlled schemas and immutable IDs; new technical rows default to cross-cutting constraints while existing feature-level IDs remain available for explicit deprecation rather than deletion.,Must,Current,Implemented,"CI validates exact headers, ID uniqueness, priority and state enums, target release values, nonblank acceptance or verification, and existing contract references.",docs/GOVERNANCE.md; docs/requirements/README.md; scripts/check_docs_governance.py,
TR-090,Governance,The roadmap is a thematic and milestone narrative; item-level release views are derived from Target_Release in the normative registers rather than manually duplicated as a second commitment list.,Must,0.2,Implemented,A deterministic generated report groups committed requirements by release and CI detects roadmap language that conflicts with the registers.,docs/GOVERNANCE.md; docs/ROADMAP.md,Release-view generation and generic roadmap claim validation are implemented in the documentation governance gate.
